Part Number,Category,Manufacturer,Manufacturer Part Number,Description,Value,Package,Voltage Rating,Dielectric,Tolerance,Supplier,Supplier URL,Datasheet,LCSC Part #,Library Ref,Library Path,Footprint Ref,Footprint Path,
CAP_100nF_0603_50V_X7R_10%,Capacitor,YAGEO,CC0603KRX7R9BB104,CAP CER 0.1UF 50V X7R 0603,100nF,0603,50V,X7R,10%,DigiKey,https://www.digikey.com/en/products/detail/yageo/CC0603KRX7R9BB104/2103082,https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X7R_6_3V-TO-250V,C14663,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_220nF_0603_25V_X7R_10%,Capacitor,Samsung Electro-Mechanics,CL10B224KA8NNNC,CAP CER 0.22UF 25V X7R 0603,220nF,0603,25V,X7R,10%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B224KA8NNNC/3886769,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/797/CL10B224KA8NNNC_Spec.pdf,C21120,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_470nF_0603_25V_X7R_10%,Capacitor,Samsung Electro-Mechanics,CL10B474KA8NNNC,CAP CER 0.47UF 25V X7R 0603,470nF,0603,25V,X7R,10%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B474KA8NNNC/3887741,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/41/CL10B474KA8NNNC_Spec.pdf,C1623,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_1uF_0603_50V_X5R_10%,Capacitor,Samsung Electro-Mechanics,CL10A105KB8NNNC,CAP CER 1UF 50V X5R 0603,1uF,0603,50V,X5R,10%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A105KB8NNNC/3887518,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10A105KB8NNNC_Spec.pdf,C15849,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_10uF_0603_25V_X5R_20%,Capacitor,Samsung Electro-Mechanics,CL10A106MA8NRNC,CAP CER 10UF 25V X5R 0603,10uF,0603,25V,X5R,20%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A106MA8NRNC/3887527,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10A106MA8NRNC_Spec.pdf,C96446,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_22uF_0603_6V3_X5R_20%,Capacitor,Samsung Electro-Mechanics,CL10A226MQ8NRNC,CAP CER 22UF 6.3V X5R 0603,22uF,0603,6.3V,X5R,20%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A226MQ8NRNC/3886851,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8932/DataSheet_CL10A226MQ8NRN_20260604.pdf,C59461,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_2u2_0603_16V_X5R_10%,Capacitor,Samsung Electro-Mechanics,CL10A225KO8NNNC,CAP CER 2.2UF 16V X5R 0603,2u2,0603,16V,X5R,10%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A225KO8NNNC/3886698,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/421/CL10A225KO8NNNC_Spec.pdf,C23630,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_4u7_0603_16V_X5R_10%,Capacitor,Samsung Electro-Mechanics,CL10A475KO8NNNC,CAP CER 4.7UF 16V X5R 0603,4u7,0603,16V,X5R,10%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A475KO8NNNC/3887442,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2328/CL10A475KO8NNNC_Spec.pdf,C19666,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_10pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C100JB8NNNC,CAP CER 10PF 50V C0G/NP0 0603,10pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C100JB8NNNC/3886685,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10C100JB8NNNC_Spec.pdf,C1634,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_12pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C120JB8NNNC,CAP CER 12PF 50V C0G/NP0 0603,12pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C120JB8NNNC/3886912,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/3682/CL10C120JB8NNNC_Spec.pdf,C38523,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_15pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C150JB8NNNC,CAP CER 15PF 50V C0G/NP0 0603,15pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C150JB8NNNC/3886954,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf,C1644,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_18pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C180JB8NNNC,CAP CER 18PF 50V C0G/NP0 0603,18pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C180JB8NNNC/3886747,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf,C1647,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_20pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C200JB8NNNC,CAP CER 20PF 50V C0G/NP0 0603,20pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C200JB8NNNC/3886845,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf,C1648,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_22pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C220JB8NNNC,CAP CER 22PF 50V C0G/NP0 0603,22pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C220JB8NNNC/3886681,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10C220JB8NNNC_Spec.pdf,C1653,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_33pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C330JB8NNNC,CAP CER 33PF 50V C0G/NP0 0603,33pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C330JB8NNNC/3886728,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf,C1663,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_47pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C470JB8NNNC,CAP CER 47PF 50V C0G/NP0 0603,47pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C470JB8NNNC/3886695,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10C470JB8NNNC_Spec.pdf,C1671,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_56pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C560JB8NNNC,CAP CER 56PF 50V C0G/NP0 0603,56pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C560JB8NNNC/3886855,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf,C39148,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_68pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C680JB8NNNC,CAP CER 68PF 50V C0G/NP0 0603,68pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C680JB8NNNC/3886793,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf,C28262,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_330pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C331JB8NNNC,CAP CER 330PF 50V C0G/NP0 0603,330pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C331JB8NNNC/3886731,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_2512.pdf,C1664,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_100pF_0603_50V_C0G_5%,Capacitor,Samsung Electro-Mechanics,CL10C101JB8NNNC,CAP CER 100PF 50V C0G/NP0 0603,100pF,0603,50V,C0G,5%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C101JB8NNNC/3886666,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10C101JB8NNNC_Spec.pdf,C14858,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
CAP_1nF_0603_50V_X7R_10%,Capacitor,Samsung Electro-Mechanics,CL10B102KB8NNNC,CAP CER 1000PF 50V X7R 0603,1nF,0603,50V,X7R,10%,DigiKey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B102KB8NNNC/3886676,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10B102KB8NNNC_Spec.pdf,C1588,../symbols/naveedk_symbols.schlib,CAP_NONPOLARIZED,../footprints/naveedk_footprints.pcblib,CAP_0603,
