Part Number,Category,Manufacturer,Manufacturer Part Number,Description,Value,Package,Power Rating,Tolerance,Voltage Rating,Supplier,Supplier URL,Datasheet,LCSC Part #,Library Path,Library Ref,Footprint Path,Footprint Ref,
RES_1k_0603_1%,Resistor,Royalohm,0603WAF1001T5E,RES SMD 1K OHM 1% 1/10W 0603,1k,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF1001T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C21190,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_100k_0603_1%,Resistor,Royalohm,0603WAF1003T5E,RES SMD 100K OHM 1% 1/10W 0603,100k,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF1003T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C25803,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_0R_0603_1%,Resistor,Royalohm,0603WAF0000T5E,RES SMD 0 OHM 1% 1/10W 0603,0R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF0000T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C21189,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_22R_0603_1%,Resistor,Royalohm,0603WAF220JT5E,RES SMD 22 OHM 1% 1/10W 0603,22R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF220JT5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23345,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_33R_0603_1%,Resistor,Royalohm,0603WAF330JT5E,RES SMD 33 OHM 1% 1/10W 0603,33R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF330JT5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23140,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_47R_0603_1%,Resistor,Royalohm,0603WAF470JT5E,RES SMD 47 OHM 1% 1/10W 0603,47R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF470JT5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23182,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_56R_0603_1%,Resistor,Royalohm,0603WAF560JT5E,RES SMD 56 OHM 1% 1/10W 0603,56R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF560JT5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C25196,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_1k5_0603_1%,Resistor,Royalohm,0603WAF1501T5E,RES SMD 1.5K OHM 1% 1/10W 0603,1k5,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF1501T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C22843,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_2k2_0603_1%,Resistor,Royalohm,0603WAF2201T5E,RES SMD 2.2K OHM 1% 1/10W 0603,2k2,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF2201T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C4190,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_3k3_0603_1%,Resistor,Royalohm,0603WAF3301T5E,RES SMD 3.3K OHM 1% 1/10W 0603,3k3,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF3301T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C22978,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_4k7_0603_1%,Resistor,Royalohm,0603WAF4701T5E,RES SMD 4.7K OHM 1% 1/10W 0603,4k7,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF4701T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23162,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_5k1_0603_1%,Resistor,Royalohm,0603WAF5101T5E,RES SMD 5.1K OHM 1% 1/10W 0603,5k1,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF5101T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23186,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_6k8_0603_1%,Resistor,Royalohm,0603WAF6801T5E,RES SMD 6.8K OHM 1% 1/10W 0603,6k8,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF6801T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23212,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_10k_0603_1%,Resistor,Royalohm,0603WAF1002T5E,RES SMD 10K OHM 1% 1/10W 0603,10k,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF1002T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C25804,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_22k_0603_1%,Resistor,Royalohm,0603WAF2202T5E,RES SMD 22K OHM 1% 1/10W 0603,22k,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF2202T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C31850,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_47k_0603_1%,Resistor,Royalohm,0603WAF4702T5E,RES SMD 47K OHM 1% 1/10W 0603,47k,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF4702T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C25819,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_68k_0603_1%,Resistor,Royalohm,0603WAF6802T5E,RES SMD 68K OHM 1% 1/10W 0603,68k,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF6802T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23231,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_100R_0603_1%,Resistor,Royalohm,0603WAF1000T5E,RES SMD 100 OHM 1% 1/10W 0603,100R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF1000T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C22775,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_120R_0603_1%,Resistor,Royalohm,0603WAF1200T5E,RES SMD 120 OHM 1% 1/10W 0603,120R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF1200T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C22787,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_330R_0603_1%,Resistor,Royalohm,0603WAF3300T5E,RES SMD 330 OHM 1% 1/10W 0603,330R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF3300T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23138,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_470R_0603_1%,Resistor,Royalohm,0603WAF4700T5E,RES SMD 470 OHM 1% 1/10W 0603,470R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF4700T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23179,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_560R_0603_1%,Resistor,Royalohm,0603WAF5600T5E,RES SMD 560 OHM 1% 1/10W 0603,560R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF5600T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23204,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_680R_0603_1%,Resistor,Royalohm,0603WAF6800T5E,RES SMD 680 OHM 1% 1/10W 0603,680R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF6800T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23228,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
RES_820R_0603_1%,Resistor,Royalohm,0603WAF8200T5E,RES SMD 820 OHM 1% 1/10W 0603,820R,0603,100mW,1%,75V,Mouser,https://www.mouser.com/c/?q=0603WAF8200T5E,https://www.royalohm.com/assets/pdf/products/smd/1.pdf,C23253,../symbols/naveedk_symbols.schlib,RESISTOR,../footprints/naveedk_footprints.pcblib,RES_0603,
